a					indef art one
abacus				n.frame with beads that slide along parallel rods, used for teaching numbers to children, and (in some countries) for counting
abandon				v. go away from (a person or thing or place) not intending to return; forsake; desert
abandonment			n. abandoning
abase					v. ~ oneself/sb lower oneself/sb in dignity; degrade oneself/sb ;
abash					to destroy the self-possession or self-confidence of:disconcert
abashed				adj. ~ embarrassed; ashamed
abate					v. make or become less
abattoir				n. = slaughterhouse (slaughter)
abbess				n. woman who is head of a convent or nunnery
abbey					n. buildingin which monks or nuns live as a community under an abbot or abbess
abbot					n. man who is head of a monastery or abbey
abbreviate				v. ~ sth shorten (a word,phrase，etc), esp by omitting lettersabbreviationn. abbreviating or being abbreviated
abdicate				v. resign from or formally renounce the throne
abdication				giving up control， authority
abdomen				n. part of the body below the chest and diaphragm, containing the stomach, bowels and digestive organs
abdominal				adj. in, of or for the abdomen
abduct				v. take away illegally, using force or deception; kidnap ;
abduction				A carrying away of a person against his will, or illegally.
abed					ln bed; on a bed.
aberrant				adj. not following the normal or correct way
aberration				n. deviation from what is accepted as normal or right
abet					v. ~ sb (in sth) help or encourage sb to commit an offence or do sth wrong
abeyance				n. be in abeyance: fal/go into abeyance (of a right, rule,problem, etcl be suspended temporarily not be in force or usefor a time
abhor					v. feel hatred and disgust for (sb/sth); detest
abhorrence				n. hatred and disgust
abhorrent				adj. ~ disgusting; hateful
abidance				An abiding.
abide					v. (esp with can/could, in negative sentences or questions can/could) tolerate (sb/sth); endure; bear
